track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Miracles (Back in Time); Shake, Shook, Shaken (Deluxe Edition B-Sides); 2015-12-11; spotify:album:1YT3LrX8BhUeqsscli66Iu; The Dø; spotify:artist:2mcNCn1qbZUQ3J9KHapUxj; 269173; 31; 3; spotify:track:08hnEIdyoVaSsqqWbSS9OV; 0.694; 0.873; 7; 0; -5.545; 0.0488; 0.18; 0.0562; 0.113; 0.42; 125.903; 4
Oblivion; Visions; 2012-02-21; spotify:album:48a7rOjTzpD1zzJAteeveE; Grimes; spotify:artist:053q0ukIDRgzwTr4vNSwab; 251266; 67; 3; spotify:track:4P6n0udLAnmCNXVcobYbsK; 0.697; 0.529; 2; 1; -8.838; 0.0338; 0.115; 0.901; 0.0895; 0.486; 155.974; 4
This Is What It Feels Like; Goddess (Deluxe); 2014-01-01; spotify:album:1eeYYgK208xvkCEGkYqWah; BANKS; spotify:artist:2xe8IXgCTpwHE3eA9hTs4n; 302616; 47; 5; spotify:track:2uPRgXGzgMY8YYMjAMsJLP; 0.485; 0.474; 8; 1; -8.873; 0.0356; 0.195; 0.0814; 0.176; 0.226; 141.952; 4
Digits; Georgia; 2015-08-07; spotify:album:6aoKvLdpYkDjqO51z3rdwD; Georgia; spotify:artist:06knYh538h5SI7OAEF8ek3; 266439; 17; 6; spotify:track:4Y8rQSIg1UzmdpKGNdStIX; 0.527; 0.862; 9; 0; -8.617; 0.0495; 0.0307; 0.288; 0.42; 0.248; 148.006; 4
I'm That Guy; Cardan; 2016-09-28; spotify:album:2UEVp5YIeyRZ7obkSewDXJ; Agar Agar; spotify:artist:5TkylUv5ysSbNoawmn3PBj; 448583; 34; 1; spotify:track:3y29QLWHxB1G7CfuFyZ8qe; 0.626; 0.389; 5; 0; -10.179; 0.0413; 0.174; 0.683; 0.102; 0.372; 182.092; 4
mary magdalene; MAGDALENE; 2019-11-08; spotify:album:2w8Wshbp9RCPJdPU1iOpaY; FKA twigs; spotify:artist:6nB0iY1cjSY1KyhYyuIIKH; 321066; 57; 5; spotify:track:7Ej5VWvFlzGRvstFG3i6Yc; 0.391; 0.444; 1; 0; -13.137; 0.119; 0.486; 3.16e-05; 0.111; 0.159; 171.858; 5
Go Fuck Yourself; First Steps; 2016-07-29; spotify:album:1T2zfKOl2TFkwRuQ7arglc; Two Feet; spotify:artist:5sWHDYs0csV6RS48xBl0tH; 129599; 78; 1; spotify:track:4NZrZgrRoR4GwR7flWOXRI; 0.765; 0.327; 6; 1; -8.029; 0.277; 0.571; 0.0479; 0.0787; 0.292; 74.931; 4
Habits (Stay High) - Hippie Sabotage Remix; Queen Of The Clouds; 2014-01-01; spotify:album:47C7w4o1resDhr7jvYEpxE; Tove Lo; spotify:artist:4NHQUGzhtTLFvgF5SZesLK; 258933; 65; 16; spotify:track:62N2JSA0jHmSH7Va9t7hIf; 0.735; 0.686; 4; 0; -7.562; 0.0366; 0.00108; 0.874; 0.0933; 0.0656; 121.011; 4
Crimewave; Crystal Castles; 2008-03-18; spotify:album:5nM3cUPxqg7iqjaoyeCWtN; Crystal Castles; spotify:artist:7K3zpFXBvPcvzhj7zlGJdO; 258453; 67; 3; spotify:track:3yQFmN8A5S8Kf1nUJuvb01; 0.746; 0.691; 4; 0; -7.533; 0.0403; 0.184; 0.0259; 0.205; 0.888; 119.982; 4
Ezra; Flume: Deluxe Edition; 2012-11-09; spotify:album:1yc3Ldus5BkJBVX9mSFMt4; Flume; spotify:artist:6nxWCVXbOlEVRexSbLsTer; 217188; 47; 9; spotify:track:0fnwkQrgavFSaGZaCmjqsY; 0.582; 0.544; 4; 0; -5.616; 0.0397; 0.395; 0.00698; 0.173; 0.398; 89.876; 4
Trndsttr - Lucian Remix; Trndsttr (Lucian Remix); 2016-02-18; spotify:album:5gxQPPFIV6w2tgPRXb4kLR; Black Coast; spotify:artist:4JMdvZoXArDVuMNNelKmjo; 179658; 59; 1; spotify:track:2O9hsVDgcwTUWTV8oluw3A; 0.794; 0.476; 2; 0; -4.337; 0.0558; 0.354; 0.00307; 0.332; 0.471; 129.827; 4
N.E.M.; Die In Shanghai; 2016-05-27; spotify:album:3X0fVmPjhrn1tjsz8ALmdC; Las Aves; spotify:artist:0bbL6moYLUu792U2ZdWgXU; 200680; 38; 4; spotify:track:1evi0s1rOH5ZFJkrCWbStm; 0.606; 0.66; 5; 0; -6.956; 0.0536; 0.0506; 0.108; 0.135; 0.189; 160.032; 4
Nightcall; Nightcall; 2010; spotify:album:07nBld9enf1PyRysZAVSqJ; Kavinsky; spotify:artist:0UF7XLthtbSF2Eur7559oV; 258413; 70; 1; spotify:track:0U0ldCRmgCqhVvD6ksG63j; 0.532; 0.874; 9; 0; -5.183; 0.0482; 0.00842; 0.012; 0.452; 0.361; 91.038; 4
Phantom Pt. II; Justice; 2007-06-11; spotify:album:4GGazqHvuKwxBjWLFaJkDL; Justice; spotify:artist:1gR0gsQYfi6joyO1dlp76N; 200826; 50; 6; spotify:track:2A3emhzbZo7eSvEUtAm3ZS; 0.619; 0.726; 7; 1; -6.422; 0.125; 0.00231; 0.766; 0.652; 0.424; 116.966; 4
Taxi’s Here; Currents B-Sides & Remixes; 2017-11-16; spotify:album:04uXkrNhFJ1iWEo88MGPva; Tame Impala; spotify:artist:5INjqkS1o8h1imAzPqGZBb; 287306; 50; 3; spotify:track:1T5tDibcj3AmFmPxYGm6vp; 0.571; 0.568; 7; 0; -6.969; 0.0316; 0.621; 0.513; 0.0687; 0.431; 101.001; 4
Silent Shout; Silent Shout; 2006-02-17; spotify:album:6rdNbdV3T4muFFFSjGdOj9; The Knife; spotify:artist:7eQZTqEMozBcuSubfu52i4; 293626; 39; 1; spotify:track:6JQFuxLwhvtHRmRMebgiLB; 0.599; 0.709; 2; 1; -10.565; 0.0396; 0.0983; 0.911; 0.119; 0.387; 128.561; 4
Moskva; Transsiberian; 2015-11-27; spotify:album:6YtM1Rx1qdF6phYUD36sAg; Thylacine; spotify:artist:5If5Tdg66Q5X3L57G7A6Pn; 394986; 48; 5; spotify:track:1neVIZzrSxqJQGXtrJmgzQ; 0.707; 0.629; 11; 0; -8.522; 0.0729; 0.198; 0.845; 0.425; 0.095; 120.009; 4
Angel; Delta Machine; 2013-03-25; spotify:album:1kpZUS7tLWK0hMWNCKP9La; Depeche Mode; spotify:artist:762310PdDnwsDxAQxzQkfX; 237960; 48; 2; spotify:track:24nDMmzJlHcDfF8iSXWFnA; 0.621; 0.72; 4; 0; -6.653; 0.0347; 0.000506; 0.103; 0.109; 0.273; 113.975; 3
Igneous; Samson & Delilah; 2013-09-09; spotify:album:7pBu2odTtmFhNv14JdsVC3; V V Brown; spotify:artist:39ZHUueufhIdbW4yu9uODG; 285738; 11; 5; spotify:track:2OoF0ZvK7eOCCqW2p7JxpS; 0.465; 0.687; 10; 1; -5.696; 0.0473; 1.36e-05; 0.0163; 0.703; 0.328; 145.046; 4
Bye Bye Macadam; Tohu Bohu; 2012-11-05; spotify:album:4wOVtHkQG6E190yK27b0hk; Rone; spotify:artist:3Dw9w3jnmr58ocgxiwITcq; 265250; 52; 2; spotify:track:3joCfQaNHoW7xrh7dImwiN; 0.593; 0.509; 4; 0; -12.042; 0.0626; 0.107; 0.893; 0.277; 0.0769; 190.028; 4
Father; Crave; 2018-09-21; spotify:album:4e5cTgchHSuvARMuQQooXC; Leonie Pernet; spotify:artist:5hGg5Xi5EqhkDooT7myKfC; 328199; 13; 5; spotify:track:1XxP9auJyy3szrwqyMemuJ; 0.638; 0.37; 5; 0; -9.548; 0.0302; 0.0628; 0.106; 0.186; 0.0693; 128.98; 4
Moon; Play Me Again; 2017-03-03; spotify:album:2FQgN73VPI2y6rTimKXZtA; Kid Francescoli; spotify:artist:2G7QgTep5IsJHGHm1hXygD; 390638; 3; 9; spotify:track:0Nc1rZEB2tZLgpxw5nkpEu; 0.663; 0.658; 2; 1; -10.001; 0.0345; 0.295; 0.867; 0.102; 0.0532; 117.986; 4
Stop; Woman; 2016-11-18; spotify:album:23EaoI8dXfDGfxF54sd1DP; Justice; spotify:artist:1gR0gsQYfi6joyO1dlp76N; 297316; 43; 5; spotify:track:0WQbCSbujb6bSPVENrWYrl; 0.525; 0.634; 1; 1; -5.866; 0.037; 0.075; 0.000106; 0.113; 0.661; 170.065; 4
Medusa; Medusa; 2013-11-12; spotify:album:4j1sfxymJlIuUoOk7yFOQt; GEMS; spotify:artist:1hjVmBR8STjix0vBUe5YfN; 250000; 30; 2; spotify:track:1NWKA3I9DXjtgn4XiFBpsv; 0.541; 0.702; 0; 1; -8.132; 0.0458; 0.00546; 0.104; 0.284; 0.375; 146.008; 4
Niemand; Traum und Existenz; 2019-04-05; spotify:album:4UCgP42raQVqg5TiVFQbz3; KOMPROMAT; spotify:artist:1QYA7hFYKc0EuhE2MGpjH7; 243840; 48; 3; spotify:track:0I1D36fEzyCHYK2lDq0h9c; 0.635; 0.638; 8; 0; -6.545; 0.036; 0.00095; 0.0961; 0.443; 0.618; 119.006; 4
You Prefer Cocaine; Poney; 2006; spotify:album:7zf8kgoT5j6uNfD8z8EnWv; Vitalic; spotify:artist:4M84umUNRbZy1mJleyyRM9; 341720; 0; 4; spotify:track:3I2KJmc9NuWJbD8cleLHBV; 0.53; 0.947; 0; 0; -7.769; 0.0591; 5.45e-05; 0.93; 0.201; 0.592; 136.959; 4
You're High; You're High; 2017-02-08; spotify:album:0b268nv3kokoU1MVmt8T9h; Agar Agar; spotify:artist:5TkylUv5ysSbNoawmn3PBj; 270000; 33; 1; spotify:track:3Wtm09sSjyoidTrms6H4H6; 0.613; 0.634; 9; 0; -7.375; 0.0266; 0.0173; 0.0844; 0.118; 0.496; 107.009; 4
Memory; Canopée; 2012-09-21; spotify:album:0ufx0G6KRhNqnFwu0QmHdJ; Yoggyone; spotify:artist:4aG8hYRYEUNDcc9Xnr14t4; 255500; 6; 6; spotify:track:0OgOkM0LS4MLxWC8F9EsaB; 0.859; 0.604; 0; 1; -8.205; 0.12; 0.474; 0.0397; 0.236; 0.102; 94.024; 4
Blue Monday - 2016 Remaster; Singles (2016 Remaster); 2005-09-30; spotify:album:2ODAEaYlqS88SU4ZZu1bI6; New Order; spotify:artist:0yNLKJebCb8Aueb54LYya3; 450800; 69; 5; spotify:track:1RSy7B2vfPi84N80QJ6frX; 0.793; 0.703; 0; 1; -9.548; 0.0581; 0.000726; 0.88; 0.075; 0.856; 130.27; 4
Hang Me Out To Dry (With Robyn); Summer 08; 2016-07-01; spotify:album:7eDSKoEcKUjg0VqwG5KMc0; Metronomy; spotify:artist:54QMjE4toDfiCryzYWCpXX; 230173; 41; 5; spotify:track:2gZ004qCMK82mKtOyJsdCC; 0.381; 0.423; 1; 1; -12.356; 0.0517; 0.4; 0.0289; 0.149; 0.24; 130.07; 4
Smalltown Boy; The Age of Consent; 1984-10-15; spotify:album:6OMYQUITdN6wBaWfEtgooI; Bronski Beat; spotify:artist:2wpWOzQE5TpA0dVnh5YD08; 302413; 72; 6; spotify:track:5vmRQ3zELMLUQPo2FLQ76x; 0.685; 0.584; 5; 0; -10.616; 0.0276; 0.288; 0.00918; 0.124; 0.939; 134.546; 4
Wave; Mirapolis; 2017-11-03; spotify:album:0gsKWYzmxZ83Ew4N0XLcz1; Rone; spotify:artist:3Dw9w3jnmr58ocgxiwITcq; 332011; 45; 7; spotify:track:2jKhAkKrtSPVNkmz5BT3Ft; 0.681; 0.521; 6; 1; -10.946; 0.0363; 0.138; 0.837; 0.0722; 0.124; 119.989; 4
Satisfaction; Hypnotica; 2003; spotify:album:2467y5gcxljWnMqbYwWxwu; Benny Benassi; spotify:artist:4Ws2otunReOa6BbwxxpCt6; 285413; 0; 1; spotify:track:5JZnjM9ijpit0d5zjT8MM7; 0.802; 0.725; 11; 1; -3.392; 0.102; 0.165; 0.0984; 0.0782; 0.347; 129.984; 4
A cause des garçons; Pop Up; 2007-08-31; spotify:album:2UiP7sGjSxl52QtlWAXYVy; Yelle; spotify:artist:0WbqAlM1WvfUD6dF7omThd; 226253; 39; 2; spotify:track:4kti5sAkWBOhPyCVItDYf8; 0.814; 0.46; 7; 1; -5.293; 0.0455; 0.000501; 0.0129; 0.0976; 0.823; 126.016; 4
