track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
rock + roll; i think you think too much of me; 2016-08-19; spotify:album:7AVvQhnDEUidKyJsXmQ7ju; EDEN; spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt; 296053; 62; 4; spotify:track:0Mf6WhWLfOpzOxacvbcboj; 0.468; 0.517; 0; 0; -7.049; 0.0574; 0.875; 0.00705; 0.171; 0.425; 69.282; 4
Mess Around; Tell Me I'm Pretty; 2015-12-18; spotify:album:0nW0w37lrQ87k7PLZvC4qJ; Cage The Elephant; spotify:artist:26T3LtbuGT1Fu9m0eRq5X3; 173173; 61; 2; spotify:track:0X0Lz7LwpiIWcdGqVWaxXD; 0.423; 0.931; 4; 0; -5.229; 0.0542; 0.0122; 0.00103; 0.629; 0.605; 150.385; 4
Reptilia; Room On Fire; 2003-10-28; spotify:album:3HFbH1loOUbqCyPsLuHLLh; The Strokes; spotify:artist:0epOFNiUfyON9EYx7Tpr6V; 219753; 72; 2; spotify:track:57Xjny5yNzAcsxnusKmAfA; 0.486; 0.666; 9; 1; -5.084; 0.033; 0.000563; 0.789; 0.101; 0.741; 157.992; 4
Let It Happen; Currents; 2015-07-17; spotify:album:79dL7FLiJFOO0EoehUHQBv; Tame Impala; spotify:artist:5INjqkS1o8h1imAzPqGZBb; 467586; 74; 1; spotify:track:2X485T9Z5Ly0xyaghN73ed; 0.602; 0.881; 1; 0; -5.875; 0.0443; 0.00462; 0.0266; 0.111; 0.577; 125.012; 4
House Party; Timeflies Tuesday, Vol. 3; 2017-12-15; spotify:album:2ODttPRNI0Hr7bxeFfFlmc; Timeflies; spotify:artist:6dC0rIJNLSFZwqckLgXJ8p; 175920; 24; 1; spotify:track:3zStuOdJJGWsoo1edMZkqo; 0.665; 0.94; 8; 1; -1.995; 0.4; 0.111; 0; 0.148; 0.389; 115.938; 4
One Hit Wonder; Too Much; 2017-08-25; spotify:album:1WkOS0dqZZ4XGwGVcLn3bg; Timeflies; spotify:artist:6dC0rIJNLSFZwqckLgXJ8p; 204733; 42; 2; spotify:track:7jb6WA0vEXNT3kjGuPn2Te; 0.748; 0.589; 9; 1; -5.954; 0.0943; 0.0284; 0; 0.096; 0.474; 99.057; 4
All We Need (feat. Shy Girls); In Return; 2014-09-08; spotify:album:5SXT6dwhHX56Sos7KMcMF5; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 211200; 56; 4; spotify:track:5jnp8E61wcoF6qIEtDHQnJ; 0.644; 0.848; 4; 0; -4.952; 0.0511; 0.00416; 0.0168; 0.0629; 0.283; 99.989; 4
Tadow; Lady Lady; 2018-09-07; spotify:album:2wqG59dVVQlJaxoO7N0LJt; Masego; spotify:artist:3ycxRkcZ67ALN3GQJ57Vig; 301893; 78; 13; spotify:track:51rPRW8NjxZoWPPjnRGzHw; 0.704; 0.487; 9; 0; -6.407; 0.0604; 0.669; 8.64e-05; 0.111; 0.313; 121.726; 4
Sunflower - Spider-Man: Into the Spider-Verse; Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture); 2018-12-14; spotify:album:35s58BRTGAEWztPo9WqCIs; Post Malone; spotify:artist:246dkjvS1zLTtiykXe5h60; 158040; 86; 2; spotify:track:3KkXRkHbMCARz0aVfEt68P; 0.76; 0.479; 2; 1; -5.574; 0.0466; 0.556; 0; 0.0703; 0.913; 89.911; 4
Powerful; Major Lazer Essentials; 2018-10-19; spotify:album:1dvjT09pcV5A4xSsgi3C4n; Major Lazer; spotify:artist:738wLrAtLtCtFOLvQBXOXp; 206327; 11; 8; spotify:track:3Ww25AoYQo6iIs1FlBPEiS; 0.598; 0.792; 11; 0; -4.043; 0.0478; 0.121; 0; 0.158; 0.732; 97.479; 3
