track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Breathe; Genetic World; 2001-01-01; spotify:album:1H10CTGW4xbk0IQewKbK50; Télépopmusik; spotify:artist:3aKCo8gLJfuPYtr88aWKjF; 282240; 62; 1; spotify:track:0uKrhHBDUQ4w5fv4qwOubP; 0.684; 0.684; 1; 1; -13.337; 0.0418; 0.385; 0.29; 0.106; 0.616; 113.988; 4
Sometimes I Hear Sirens; Sometimes I Hear Sirens; 2017-04-17; spotify:album:1qsVQ59wAHTlAYG4C8m5aU; Raär; spotify:artist:4yPF0okVf5WmxwRHZnUyAY; 380032; 39; 1; spotify:track:7s79fLD8hT1rz10ZHA9YJb; 0.666; 0.706; 5; 0; -11.912; 0.0503; 0.771; 0.856; 0.106; 0.274; 123.981; 4
Cups; Beaucoup Fish (Remastered / Super Deluxe); 1999-03-01; spotify:album:4aDQW29Xvaa7jhyMGDS1Yj; Underworld; spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa; 704706; 37; 1; spotify:track:2jX3LIqfrXmJSznCL5x5aW; 0.501; 0.716; 8; 1; -9.773; 0.0403; 0.0485; 0.903; 0.18; 0.693; 130.106; 4
Sola Sistim; A Hundred Days Off; 2002; spotify:album:5n192ghquuwEFORZEtNyLg; Underworld; spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa; 386960; 45; 4; spotify:track:4hWuNTCyQeQkzBPjjVE9rX; 0.64; 0.485; 5; 0; -10.05; 0.0497; 0.529; 0.85; 0.109; 0.673; 63.499; 4
Shona; Shona; 2015-03-02; spotify:album:3sKv18MCypZJzh9bEncv5G; Jake Chudnow; spotify:artist:0IhZsSjGTFJBXIM5unqzdV; 315257; 41; 1; spotify:track:0JNRE2AVZvGfJdNNabrVIg; 0.628; 0.583; 8; 1; -9.331; 0.0385; 0.0401; 0.778; 0.0882; 0.419; 128.013; 4
Seashore (Sprinkles' Ambient Ballroom); Seashore; 2012; spotify:album:0rUxpqfvQU72xalx4h3ZmC; Oh, Yoko; spotify:artist:65ZKH10CCFaaD3WJ20mgjL; 711000; 12; 3; spotify:track:3bU9Z9Cvz4xLc9sPXsa5C4; 0.475; 0.472; 8; 1; -20.224; 0.0516; 0.205; 0.866; 0.0891; 0.029; 120.003; 4
Waterfall; Merchant of Salt; 2012-08-01; spotify:album:7GC7kgJNOZCo4AMrBI4pCu; Rrose; spotify:artist:5naKaYAyzzuPDsh4H2dwyT; 434090; 30; 2; spotify:track:75FeNPsfreU3K6ddpYWFtH; 0.747; 0.702; 2; 1; -11.635; 0.0421; 3.59e-06; 0.91; 0.0808; 0.0398; 125.0; 4
Secrets & Lies; Secrets & Lies; 2016-01-15; spotify:album:5FCoqP3iLr6LmgNVS7lM4A; Fort Romeau; spotify:artist:5MKqWyqq5CStK7AhkTvzQF; 577345; 40; 3; spotify:track:6xUWo0j2fFn4k4zg4qACJm; 0.801; 0.554; 8; 1; -8.036; 0.0474; 0.00298; 0.773; 0.0546; 0.255; 120.006; 4
Paris Is For Lovers (My Love) feat. Tomas Høffding; Hotel Amour; 2012-02-13; spotify:album:2SLPxtJzilcx5HsaMPPy78; Terranova; spotify:artist:5ZrGK55yglfGEOvnB2japP; 437373; 31; 4; spotify:track:3K8TAJPGF06oDH9fV4YLNN; 0.678; 0.688; 7; 1; -11.046; 0.0415; 0.0831; 0.548; 0.0995; 0.284; 123.002; 4
Falling Up - Carl Craig Remix; Detroit Beatdown Remixes 1: 2; 2007-03-16; spotify:album:5X7mK0t2gXDb3LJLg3L1DR; Theo Parrish; spotify:artist:3qMRvSHJpaRjGDkIeNMoGz; 496560; 26; 1; spotify:track:1ojLwiIMEmypJcWqvcxEJo; 0.753; 0.455; 11; 1; -9.394; 0.065; 0.00226; 0.874; 0.0761; 0.594; 122.988; 4
Subzero - Original Mix; Before One EP; 2009-01-26; spotify:album:6nDabvimKikHWteZsybtEd; Ben Klock; spotify:artist:1vJHfCreWAS46V8RZ67ojo; 383972; 47; 2; spotify:track:7p6oXzBSPAXXz8Xb8gBPki; 0.793; 0.608; 6; 0; -11.638; 0.0673; 0.588; 0.861; 0.0991; 0.118; 124.988; 4
make a move; _songs; 2018-01-03; spotify:album:2wwitaZ4741WPHfh10MRzr; nørus; spotify:artist:11V5ILUaU0e00lfttXHEpz; 456000; 45; 1; spotify:track:7tasT0r0WpnfYSVfDc3UUK; 0.718; 0.927; 11; 0; -6.389; 0.0877; 0.00202; 0.854; 0.48; 0.766; 128.006; 4
The Man With the Red Face - Video Edit; The Man With the Red Face; 2000-03-27; spotify:album:2z7OqIfgvL7xrOtYAj2Qzl; Laurent Garnier; spotify:artist:3y1SoTOdrmRNTBVph5T0VZ; 550360; 28; 1; spotify:track:2TNAP0cq2IZkeSUx2Zbzrw; 0.695; 0.691; 3; 1; -12.288; 0.0403; 0.0127; 0.923; 0.13; 0.481; 131.999; 4
What's a Girl to Do; A Girl Between Two Worlds; 2015-02-13; spotify:album:4MGNcuX4Vvhv2hhn1FwtDW; Fatima Yamaha; spotify:artist:7eZRt08LoDy0nfIS6OwyMP; 446510; 58; 4; spotify:track:5N720bYInxSsiUDvBOLM3C; 0.808; 0.521; 8; 1; -9.381; 0.168; 0.123; 0.906; 0.336; 0.765; 120.021; 4
Red Armor; EUROMANTIC001; 2017-11-03; spotify:album:5HJGRVBklV8N975TLDeHfW; Niki Istrefi; spotify:artist:0Rx7qgEFYklSZgXkFgwLZL; 280079; 47; 1; spotify:track:4lokwaruKSA4UVymx6JqXc; 0.829; 0.722; 11; 0; -11.766; 0.256; 0.0243; 0.741; 0.126; 0.429; 140.02; 4
Records & Culture; Records & Culture; 2013-08-26; spotify:album:5GnIT8TxsP3JrjxOxoOuTC; Kiani & His Legion; spotify:artist:5Mq9UFAr7R9KTwlFFiHVcQ; 509716; 5; 1; spotify:track:3vqRCfA75p1UCsYjgBNvPf; 0.755; 0.635; 5; 1; -13.173; 0.0524; 0.00329; 0.874; 0.0537; 0.136; 117.006; 4
Lady Science - NYC Sunrise; Seth Troxler - The Lab 03; 2011-10-10; spotify:album:0mKtPZ9E96U6gQX15cfHto; Soul Capsule; spotify:artist:7cXMDkf45UtgRlxemP1I4o; 562301; 39; 15; spotify:track:6cnfseLPZpaPq53XYw6NIv; 0.952; 0.446; 9; 0; -15.909; 0.485; 0.0772; 0.92; 0.0717; 0.857; 127.868; 4
Lovelee Dae - Original; Lovelee Dae; 2011-04-04; spotify:album:2ZxEsmg67xjh02SjNbQuaQ; Blaze; spotify:artist:5yK5YSsWKH35QRTsHQHxEN; 456533; 44; 2; spotify:track:3CUZhJEreKw7B80VTL9K6e; 0.733; 0.634; 1; 1; -9.395; 0.0394; 0.000506; 0.798; 0.0848; 0.326; 124.144; 4
Drone Logic; Drone Logic; 2013-10-07; spotify:album:40CBXF9jJwK21mrqlmBr92; Daniel Avery; spotify:artist:1EULJuDFWpZ9xg4YwtUGGt; 429453; 47; 3; spotify:track:7JRN5xOUIrnI4crUMOt6X4; 0.648; 0.712; 9; 1; -7.222; 0.0333; 0.131; 0.843; 0.287; 0.104; 114.027; 4
Open Eye Signal; Immunity; 2013-06-03; spotify:album:1rxWlYQcH945S3jpIMYR35; Jon Hopkins; spotify:artist:7yxi31szvlbwvKq9dYOmFI; 468586; 50; 2; spotify:track:6wMTeVootJ8RdCLNOZy5Km; 0.798; 0.715; 0; 1; -7.103; 0.215; 0.191; 0.773; 0.112; 0.199; 122.47; 3
Promised Land; Promised Land; 1988-12-11; spotify:album:1oyrymxXmhE2NaYczhS6NR; Joe Smooth; spotify:artist:4BIamAD25vwYldaOWTEsXd; 331706; 52; 1; spotify:track:796T2ROxTNibXRjVhjSzCa; 0.718; 0.93; 7; 1; -4.532; 0.038; 0.0026; 0.0176; 0.0363; 0.697; 128.736; 4
