track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Start Me Up - Remastered; Tattoo You (2009 Re-Mastered); 1981-08-24; spotify:album:15XNBzVWARPMlu0sEbfBjJ; The Rolling Stones; spotify:artist:22bE4uQ6baNwSHPVcDxLCe; 213066; 76; 1; spotify:track:7HKez549fwJQDzx3zLjHKC; 0.631; 0.932; 5; 1; -4.142; 0.0354; 0.0436; 0.137; 0.0918; 0.971; 122.429; 4
Let's Dance - 1999 Remaster; Let's Dance (1999 Remaster); 1983-04-14; spotify:album:37KYBt1Lzn4eJ4KoCFZcnR; David Bowie; spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy; 457133; 3; 3; spotify:track:0F0MA0ns8oXwGw66B2BSXm; 0.619; 0.703; 10; 0; -9.414; 0.0525; 0.00388; 0.205; 0.163; 0.709; 115.043; 4
Fluorescent Adolescent; Favourite Worst Nightmare (Standard Version); 2007-04-24; spotify:album:6rsQnwaoJHxXJRCDBPkBRw; Arctic Monkeys; spotify:artist:7Ln80lUS6He07XvHI8qqHH; 173493; 68; 5; spotify:track:7e8utCy2JlSB8dRHKi49xM; 0.646; 0.813; 6; 0; -5.29; 0.0288; 0.00178; 2.26e-05; 0.144; 0.821; 112.115; 4
Gold on the Ceiling; El Camino; 2011-12-06; spotify:album:5DLhV9yOvZ7IxVmljMXtNm; The Black Keys; spotify:artist:7mnBLXK823vNxN3UWB7Gfz; 224333; 69; 3; spotify:track:5lN1EH25gdiqT1SFALMAq1; 0.505; 0.833; 0; 1; -4.632; 0.0475; 0.00772; 7.9e-05; 0.069; 0.565; 130.121; 4
Last Nite; Is This It; 2001-07-30; spotify:album:2k8KgmDp9oHrmu0MIj4XDE; The Strokes; spotify:artist:0epOFNiUfyON9EYx7Tpr6V; 193373; 64; 7; spotify:track:3SUusuA9jH1v6PVwtYMbdv; 0.624; 0.899; 0; 1; -5.71; 0.0295; 0.0223; 0.000155; 0.0975; 0.797; 104.055; 4
Pumped Up Kicks; Torches; 2011-05-23; spotify:album:7Kmmw7Z5D2UD5MVwdm10sT; Foster The People; spotify:artist:7gP3bB2nilZXLfPHJhMdvc; 239600; 84; 2; spotify:track:7w87IxuO7BDcJ3YUqCyMTT; 0.733; 0.71; 5; 0; -5.849; 0.0292; 0.145; 0.115; 0.0956; 0.965; 127.975; 4
Howlin' for You; Brothers; 2010-05-18; spotify:album:7qE6RXYyz5kj5Tll7mJU0v; The Black Keys; spotify:artist:7mnBLXK823vNxN3UWB7Gfz; 191800; 66; 4; spotify:track:0grFc6klR3hxoHLcgCYsF4; 0.705; 0.735; 11; 1; -6.646; 0.0931; 0.028; 0.0783; 0.112; 0.448; 132.627; 4
Electric Feel; Oracular Spectacular; 2007-12-14; spotify:album:6mm1Skz3JE6AXneya9Nyiv; MGMT; spotify:artist:0SwO7SWeDHJijQ3XNS7xEE; 229640; 78; 4; spotify:track:3FtYbEfBqAlGO46NUDQSAt; 0.763; 0.807; 1; 1; -3.714; 0.035; 0.0714; 0.28; 0.348; 0.559; 103.038; 3
Take a Walk; Gossamer; 2012-07-23; spotify:album:14JU5SskmcyckE5I8PY6lv; Passion Pit; spotify:artist:7gjAu1qr5C2grXeQFFOGeh; 264493; 70; 1; spotify:track:4Sfa7hdVkqlM8UW5LsSY3F; 0.566; 0.755; 11; 1; -5.526; 0.0368; 0.0338; 0; 0.315; 0.445; 101.006; 4
Can't Stand Me Now; The Libertines; 2004; spotify:album:4Fpg7zSk9EdANLYiPXd7ri; The Libertines; spotify:artist:4fSPtBgFPZzygkY6MehwQ7; 203733; 62; 1; spotify:track:71D4LseR0RADPbyvMeTIHR; 0.368; 0.935; 4; 1; -3.204; 0.0587; 0.0111; 0.00201; 0.0948; 0.558; 164.425; 4
Take Me Out; Franz Ferdinand; 2004; spotify:album:0mUEGMT2YlzCWGeWOJjBKD; Franz Ferdinand; spotify:artist:0XNa1vTidXlvJ2gHSsRi4A; 237026; 74; 3; spotify:track:6ooluO7DiEhI1zmK94nRCM; 0.278; 0.676; 9; 1; -8.821; 0.0371; 0.000423; 0.000899; 0.136; 0.494; 104.545; 4
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit; Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]; 2013-04-19; spotify:album:2ePFIvZKMe8zefATp9ofFA; Daft Punk; spotify:artist:4tZwfgrHOc3mvqYlEYSvVi; 248413; 77; 1; spotify:track:2Foc5Q5nqNiosCNqttzHof; 0.794; 0.811; 6; 0; -8.966; 0.038; 0.0426; 1.07e-06; 0.101; 0.862; 116.047; 4
