track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
South of the River; Geography; 2018-04-06; spotify:album:28enuddLPEA914scE6Drvk; Tom Misch; spotify:artist:1uiEZYehlNivdK3iQyAbye; 269815; 58; 3; spotify:track:5w3yxRRxy5pvZdUvBJF6ve; 0.845; 0.57; 0; 1; -8.441; 0.0802; 0.0957; 0.414; 0.0813; 0.466; 113.003; 4
Vibin' Out; French Kiwi Juice; 2017-03-02; spotify:album:0jJ7mMkCkTe7p9EJgSRxgi; FKJ; spotify:artist:2FwDTncULUnmANIh7qKa5z; 311837; 66; 5; spotify:track:6SEolIp22t0DzeBfCBo3hr; 0.41; 0.169; 3; 1; -11.422; 0.0485; 0.847; 0.00327; 0.117; 0.208; 89.494; 4
anemone; fabulist; 2017-04-12; spotify:album:1vaFEGAj0JSQSM2SlK0B3X; slenderbodies; spotify:artist:3S4d3YRNGg2OhnNm3QvfhA; 228061; 63; 4; spotify:track:1MD2yGSeBRALkMui1fZ05P; 0.854; 0.631; 11; 0; -8.197; 0.0452; 0.884; 0.00999; 0.202; 0.609; 119.986; 4
Pretty Shining People - HONNE Remix; Pretty Shining People (HONNE Remix); 2019-03-29; spotify:album:4EGGShhVfGeBEhjq2g37Fi; George Ezra; spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j; 269687; 39; 1; spotify:track:6bF2lhnj8pYJvt3jRvmRQb; 0.437; 0.791; 1; 1; -5.635; 0.092; 0.414; 3.4e-06; 0.101; 0.424; 123.811; 4
All We Need (feat. Shy Girls); In Return; 2014-09-08; spotify:album:5SXT6dwhHX56Sos7KMcMF5; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 211200; 56; 4; spotify:track:5jnp8E61wcoF6qIEtDHQnJ; 0.644; 0.848; 4; 0; -4.952; 0.0511; 0.00416; 0.0168; 0.0629; 0.283; 99.989; 4
Enjoy the Flight (feat. Fréd); Enjoy the Flight (feat. Fréd); 2016-06-06; spotify:album:0mJWIpyNAVxv4tI3ulCq8S; Just Chillax; spotify:artist:7xagLL97jktrtPWMXOGCED; 213774; 47; 1; spotify:track:5j1iQmRFVmGgR3kbm5ZuC0; 0.661; 0.565; 0; 0; -6.579; 0.0305; 0.393; 0.305; 0.101; 0.0629; 63.98; 4
Sunday Vibes; The Pink Polo EP; 2016-04-05; spotify:album:3efpx8tZjv4jOqmQPH6Myn; Masego; spotify:artist:3ycxRkcZ67ALN3GQJ57Vig; 226168; 62; 6; spotify:track:3l75jB2gKi4VpgklWIbTOz; 0.691; 0.67; 1; 1; -4.471; 0.0644; 0.258; 0.764; 0.117; 0.22; 170.066; 4
Sugarcoat; Staying at Tamara's; 2018-03-23; spotify:album:2NaulYO6lGXTyIzWTJvRJj; George Ezra; spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j; 202125; 51; 7; spotify:track:2UOytD96KzsV0PyDI9uPTu; 0.706; 0.653; 5; 1; -6.745; 0.0368; 0.422; 0; 0.12; 0.368; 123.954; 4
Walking in the Sun; Walking in the Sun; 2015-05-22; spotify:album:2e3omo3BZINdmAM1QBZSI7; PANG!; spotify:artist:6TlN75Ns66CyxBuZ7i3TK3; 213402; 56; 1; spotify:track:7GGguiA9LkgFT3BZbzHjwQ; 0.78; 0.417; 2; 1; -11.365; 0.0363; 0.113; 0.00227; 0.37; 0.283; 120.042; 4
Sunflower; Sunflower; 2017-03-22; spotify:album:1FhmTMNe8AziAPkB29114F; Rex Orange County; spotify:artist:7pbDxGE6nQSZVfiFdq9lOL; 252230; 79; 1; spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ; 0.384; 0.765; 6; 1; -4.463; 0.0579; 0.646; 0.00352; 0.522; 0.567; 129.903; 4
